,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome
0,29,blue-collar,single,secondary,no,348,yes,no,unknown,9,may,2,-1,0,unknown
1,39,blue-collar,single,secondary,no,116,yes,no,unknown,26,may,3,-1,0,unknown
2,34,management,married,tertiary,no,16649,yes,no,cellular,20,nov,2,-1,0,unknown
3,31,admin.,single,secondary,no,358,yes,no,unknown,15,may,2,-1,0,unknown
4,40,entrepreneur,married,tertiary,no,-164,no,no,cellular,7,may,1,-1,0,unknown
5,47,technician,married,secondary,no,52,no,no,cellular,20,aug,4,-1,0,unknown
6,42,technician,divorced,secondary,no,324,yes,no,cellular,27,aug,2,-1,0,unknown
7,45,housemaid,married,secondary,no,1041,yes,no,unknown,29,may,3,-1,0,unknown
8,29,management,single,tertiary,no,-223,no,yes,cellular,9,jul,1,-1,0,unknown
9,44,entrepreneur,married,secondary,no,692,no,no,unknown,18,jun,4,-1,0,unknown
10,41,technician,married,secondary,no,288,yes,no,unknown,15,may,4,-1,0,unknown
11,42,management,married,tertiary,no,36,no,no,cellular,14,aug,2,-1,0,unknown
12,52,technician,married,secondary,no,11,yes,no,unknown,13,may,1,-1,0,unknown
13,44,admin.,divorced,secondary,no,-43,yes,yes,cellular,20,apr,1,-1,0,unknown
14,43,blue-collar,married,primary,no,-93,yes,no,unknown,26,may,2,-1,0,unknown
15,28,blue-collar,married,secondary,no,0,yes,yes,unknown,3,jun,1,-1,0,unknown
16,30,management,single,tertiary,no,63,yes,no,cellular,20,apr,1,320,1,other
17,48,technician,married,secondary,no,4265,yes,no,unknown,13,may,2,-1,0,unknown
18,38,blue-collar,married,secondary,no,0,yes,no,unknown,9,jun,1,-1,0,unknown
19,43,blue-collar,married,secondary,no,4520,yes,no,unknown,15,may,4,-1,0,unknown
20,43,admin.,married,secondary,no,352,no,yes,cellular,31,jul,4,-1,0,unknown
21,40,admin.,married,secondary,no,3126,yes,no,cellular,30,dec,3,232,2,failure
22,37,blue-collar,single,tertiary,no,3649,yes,no,cellular,15,apr,2,146,4,failure
23,37,management,married,tertiary,no,0,yes,no,cellular,6,may,1,13,12,success
24,36,blue-collar,married,secondary,no,412,yes,no,unknown,15,may,2,-1,0,unknown
25,30,services,single,secondary,no,245,no,yes,cellular,8,jul,2,-1,0,unknown
26,46,technician,married,secondary,no,-337,yes,no,unknown,27,may,1,-1,0,unknown
