,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,term_deposit
0,46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1,-1,0,unknown,yes
1,37,management,single,tertiary,no,457,yes,no,cellular,1,apr,3,-1,0,unknown,no
2,34,blue-collar,single,secondary,no,1698,yes,no,unknown,27,may,7,-1,0,unknown,no
3,45,unemployed,single,secondary,no,33,no,no,cellular,5,feb,1,-1,0,unknown,no
4,31,management,married,tertiary,no,131,no,no,cellular,18,feb,2,-1,0,unknown,yes
5,35,management,married,tertiary,no,646,yes,no,cellular,18,nov,2,-1,0,unknown,no
6,35,blue-collar,married,secondary,no,74,no,no,cellular,23,jul,2,-1,0,unknown,no
7,43,entrepreneur,married,secondary,no,0,no,no,telephone,24,jul,12,-1,0,unknown,no
8,22,blue-collar,single,secondary,no,682,no,no,cellular,5,jun,2,91,1,success,yes
9,33,management,married,tertiary,no,271,yes,no,cellular,14,aug,2,-1,0,unknown,yes
10,29,admin.,single,secondary,no,-37,yes,no,cellular,8,jul,35,-1,0,unknown,no
11,27,services,single,secondary,no,1347,no,no,telephone,28,dec,1,193,11,success,yes
12,34,management,single,tertiary,no,-578,yes,no,cellular,18,may,2,-1,0,unknown,yes
13,49,blue-collar,single,primary,no,566,yes,no,cellular,25,jul,2,-1,0,unknown,yes
14,55,admin.,divorced,secondary,no,1872,no,no,cellular,28,aug,2,93,8,failure,yes
15,41,management,married,tertiary,no,1468,yes,no,cellular,31,mar,3,-1,0,unknown,yes
16,36,management,married,tertiary,no,254,no,no,cellular,3,feb,2,-1,0,unknown,yes
17,43,services,married,secondary,no,0,no,no,unknown,12,jun,1,-1,0,unknown,no
18,29,technician,single,secondary,no,1165,no,no,cellular,2,jun,1,-1,0,unknown,yes
19,59,blue-collar,married,secondary,no,1407,yes,no,unknown,9,may,1,-1,0,unknown,no
20,41,technician,divorced,secondary,no,4047,yes,no,cellular,18,feb,1,-1,0,unknown,yes
21,31,admin.,single,secondary,no,1129,yes,no,cellular,18,may,3,-1,0,unknown,no
22,33,technician,single,secondary,no,1769,yes,no,cellular,18,nov,1,182,1,failure,no
23,37,management,single,tertiary,no,22125,no,yes,cellular,21,nov,2,-1,0,unknown,yes
24,27,student,single,tertiary,no,118,no,no,cellular,31,aug,3,98,1,failure,yes
25,52,management,married,tertiary,no,-970,yes,no,cellular,4,feb,1,-1,0,unknown,yes
26,34,technician,married,tertiary,no,7050,no,no,cellular,7,aug,1,-1,0,unknown,yes
27,59,retired,divorced,primary,no,217,yes,no,unknown,26,may,3,-1,0,unknown,no
28,78,retired,married,primary,no,8556,no,no,telephone,21,apr,2,-1,0,unknown,yes
29,34,entrepreneur,married,primary,no,7279,yes,no,cellular,12,may,1,-1,0,unknown,yes
30,33,technician,single,tertiary,no,258,no,no,cellular,12,mar,4,-1,0,unknown,yes
31,49,admin.,married,secondary,no,0,no,no,cellular,1,jun,1,-1,0,unknown,yes
32,57,blue-collar,divorced,secondary,no,1795,yes,no,unknown,19,jun,1,-1,0,unknown,no
33,32,management,single,tertiary,no,537,no,no,unknown,29,may,3,-1,0,unknown,no
34,51,management,divorced,tertiary,no,-202,no,no,cellular,19,aug,4,-1,0,unknown,no
35,38,management,married,tertiary,no,5432,yes,yes,cellular,17,apr,1,149,2,failure,no
36,24,blue-collar,married,primary,no,656,yes,no,unknown,16,may,1,-1,0,unknown,yes
37,46,blue-collar,married,primary,no,222,no,no,cellular,8,aug,2,-1,0,unknown,no
38,55,management,divorced,tertiary,no,2037,no,no,cellular,2,nov,2,273,1,failure,yes
39,45,technician,married,secondary,no,999,yes,no,unknown,16,may,2,-1,0,unknown,no
40,50,management,married,secondary,no,268,no,no,cellular,5,mar,2,-1,0,unknown,no
41,27,technician,single,primary,no,1022,yes,no,unknown,19,may,2,-1,0,unknown,no
42,32,management,married,tertiary,no,376,yes,no,cellular,23,mar,4,-1,0,unknown,yes
43,31,blue-collar,divorced,secondary,no,-277,yes,no,telephone,17,jul,2,-1,0,unknown,yes
44,40,management,married,tertiary,no,2763,yes,no,cellular,2,jul,1,395,2,success,yes
45,32,management,single,tertiary,no,2360,no,no,cellular,3,feb,2,160,5,other,yes
46,29,management,married,secondary,no,231,no,no,cellular,14,may,1,14,1,failure,yes
47,31,technician,single,tertiary,no,985,yes,no,cellular,17,apr,1,57,2,failure,yes
48,37,management,single,tertiary,no,1027,yes,no,cellular,1,oct,1,119,1,failure,yes
49,24,management,single,tertiary,no,1030,no,no,cellular,4,mar,2,-1,0,unknown,yes
50,46,admin.,married,secondary,no,979,no,no,cellular,27,aug,15,-1,0,unknown,no
51,53,services,married,secondary,no,1461,no,no,cellular,25,aug,6,-1,0,unknown,no
52,51,management,single,unknown,no,-461,yes,no,unknown,28,may,2,-1,0,unknown,no
